Extracting CIFAR-100 to SLURM_TMPDIR...
Using device: cuda
Loading data from: /tmp
Starting exact memory-efficient training tracking batch deviations...
Epoch [1/160] | LR: 0.0167 | Train Acc: 4.46% | Test Acc: 8.60% | Time: 230.2s
Epoch [2/160] | LR: 0.0333 | Train Acc: 13.60% | Test Acc: 17.07% | Time: 230.7s
Epoch [3/160] | LR: 0.0500 | Train Acc: 22.24% | Test Acc: 24.02% | Time: 230.4s
Epoch [4/160] | LR: 0.0667 | Train Acc: 31.18% | Test Acc: 28.30% | Time: 230.5s
Epoch [5/160] | LR: 0.0833 | Train Acc: 39.17% | Test Acc: 31.36% | Time: 230.6s
Epoch [6/160] | LR: 0.1000 | Train Acc: 45.26% | Test Acc: 38.84% | Time: 230.5s
Epoch [7/160] | LR: 0.1167 | Train Acc: 50.44% | Test Acc: 39.65% | Time: 230.7s
Epoch [8/160] | LR: 0.1333 | Train Acc: 54.49% | Test Acc: 44.39% | Time: 230.5s
Epoch [9/160] | LR: 0.1500 | Train Acc: 57.93% | Test Acc: 48.82% | Time: 230.5s
Epoch [10/160] | LR: 0.1667 | Train Acc: 60.47% | Test Acc: 52.34% | Time: 230.7s
Epoch [11/160] | LR: 0.1833 | Train Acc: 62.57% | Test Acc: 50.83% | Time: 230.6s
Epoch [12/160] | LR: 0.2000 | Train Acc: 65.31% | Test Acc: 54.80% | Time: 230.7s
Epoch [13/160] | LR: 0.2167 | Train Acc: 67.35% | Test Acc: 50.84% | Time: 230.6s
Epoch [14/160] | LR: 0.2333 | Train Acc: 69.23% | Test Acc: 56.04% | Time: 230.6s
Epoch [15/160] | LR: 0.2500 | Train Acc: 70.75% | Test Acc: 51.80% | Time: 230.5s
Epoch [16/160] | LR: 0.2667 | Train Acc: 73.13% | Test Acc: 59.71% | Time: 230.6s
Epoch [17/160] | LR: 0.2833 | Train Acc: 74.51% | Test Acc: 57.37% | Time: 230.8s
Epoch [18/160] | LR: 0.3000 | Train Acc: 76.26% | Test Acc: 54.04% | Time: 230.5s
Epoch [19/160] | LR: 0.3167 | Train Acc: 76.99% | Test Acc: 58.17% | Time: 230.6s
Epoch [20/160] | LR: 0.3333 | Train Acc: 78.39% | Test Acc: 62.70% | Time: 230.6s
Epoch [21/160] | LR: 0.3500 | Train Acc: 79.84% | Test Acc: 62.46% | Time: 230.6s
Epoch [22/160] | LR: 0.3667 | Train Acc: 81.47% | Test Acc: 61.90% | Time: 230.5s
Epoch [23/160] | LR: 0.3833 | Train Acc: 82.21% | Test Acc: 61.69% | Time: 230.6s
Epoch [24/160] | LR: 0.4000 | Train Acc: 83.68% | Test Acc: 61.49% | Time: 230.5s
Epoch [25/160] | LR: 0.3971 | Train Acc: 84.86% | Test Acc: 66.13% | Time: 230.4s
Epoch [26/160] | LR: 0.3941 | Train Acc: 86.63% | Test Acc: 67.06% | Time: 230.4s
Epoch [27/160] | LR: 0.3912 | Train Acc: 88.14% | Test Acc: 67.32% | Time: 230.4s
Epoch [28/160] | LR: 0.3882 | Train Acc: 89.82% | Test Acc: 67.45% | Time: 230.4s
Epoch [29/160] | LR: 0.3853 | Train Acc: 90.90% | Test Acc: 67.32% | Time: 230.4s
Epoch [30/160] | LR: 0.3824 | Train Acc: 91.65% | Test Acc: 66.13% | Time: 230.5s
Epoch [31/160] | LR: 0.3794 | Train Acc: 92.68% | Test Acc: 67.88% | Time: 230.4s
Epoch [32/160] | LR: 0.3765 | Train Acc: 93.93% | Test Acc: 69.10% | Time: 230.3s
Epoch [33/160] | LR: 0.3735 | Train Acc: 94.40% | Test Acc: 69.86% | Time: 230.3s
